dataset_id,dataset_name,dataset_name_,test_accuracy
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.028133
1,ArrowHead,lstmfcn_64_cells_weights/ArrowHead,0.560000
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.030691
1,ArrowHead,lstmfcn_64_cells_weights/ArrowHead,0.645714
0,Adiac,lstmfcn_64_cells_weights/Adiac,0.053708
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.668367
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.693095
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.691327
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.603581
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.670918
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.662404
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.681122
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.647059
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.678571
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.647059
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.688776
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.659847
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.681122
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.675192
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.683673
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.641944
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.686224
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.629156
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.653061
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.690537
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.688776
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.687980
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.676020
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.667519
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.658163
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.677749
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.681122
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.654731
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.655612
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.641944
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.655612
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.686224
1,cairo_9999_1,lstmfcn_64_cells_weights/cairo_9999_1,0.677749
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.693878
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.676020
21,milan_9999_0,lstmfcn_64_cells_weights/milan_9999_0,0.504077
42,kyoto7_9999_0,lstmfcn_64_cells_weights/kyoto7_9999_0,0.585635
63,kyoto8_9999_0,lstmfcn_64_cells_weights/kyoto8_9999_0,0.548063
85,kyoto11_9999_0,lstmfcn_64_cells_weights/kyoto11_9999_0,0.452896
0,cairo_9999_0,lstmfcn_64_cells_weights/cairo_9999_0,0.665816
21,milan_9999_0,lstmfcn_64_cells_weights/milan_9999_0,0.508525
42,kyoto7_9999_0,lstmfcn_64_cells_weights/kyoto7_9999_0,0.569061
63,kyoto8_9999_0,lstmfcn_64_cells_weights/kyoto8_9999_0,0.555237
85,kyoto11_9999_0,lstmfcn_64_cells_weights/kyoto11_9999_0,0.443534
