dataset_id,dataset_name,dataset_name_,test_accuracy
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.302857
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.030691
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.411429
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.030691
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.320000
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.023018
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.245714
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.048593
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.548571
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.071611
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.302857
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.056266
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.302857
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.030691
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.600000
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.030691
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.468571
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.040921
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.680000
0,Adiac,lstmfcn_8_cells_weights/Adiac,0.061381
1,ArrowHead,lstmfcn_8_cells_weights/ArrowHead,0.451429
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.650510
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.644501
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.653061
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.639386
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.640306
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.652174
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.653061
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.682864
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.581633
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.685422
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.670918
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.634271
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.635204
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.662404
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.650510
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.632653
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.634271
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.635204
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.622449
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.631714
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.681122
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.667519
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.670918
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.542199
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.642857
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.621483
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.635204
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.634271
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.660714
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.678571
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.687980
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.635204
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.631714
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.663265
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.629156
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.642857
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.687980
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.635204
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.676020
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.681122
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.639386
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.650510
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.657289
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.630102
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.631714
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.604592
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.634271
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.630102
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.631714
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.668367
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.585678
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.647959
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.634271
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.632653
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.611253
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.681122
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.595908
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.612245
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.631714
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.660714
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.491049
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.663265
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.698210
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.678571
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.634271
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.670918
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.621483
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.635204
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.647059
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.650510
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.685422
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.658163
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.677749
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.673469
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.593350
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.744898
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.759591
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.693878
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.690537
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.640306
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.675192
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.704082
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.601023
2,cairo_9999_2,lstmfcn_8_cells_weights/cairo_9999_2,0.680307
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.665816
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.635204
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.673469
1,cairo_9999_1,lstmfcn_8_cells_weights/cairo_9999_1,0.695652
2,cairo_9999_2,lstmfcn_8_cells_weights/cairo_9999_2,0.675192
3,cairo_999_0,lstmfcn_8_cells_weights/cairo_999_0,0.640306
4,cairo_999_1,lstmfcn_8_cells_weights/cairo_999_1,0.496164
5,cairo_999_2,lstmfcn_8_cells_weights/cairo_999_2,0.667519
6,cairo_1_0,lstmfcn_8_cells_weights/cairo_1_0,0.635204
7,cairo_1_1,lstmfcn_8_cells_weights/cairo_1_1,0.636829
8,cairo_1_2,lstmfcn_8_cells_weights/cairo_1_2,0.647059
9,cairo_2_0,lstmfcn_8_cells_weights/cairo_2_0,0.653061
10,cairo_2_1,lstmfcn_8_cells_weights/cairo_2_1,0.639386
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.658163
21,milan_9999_0,lstmfcn_8_cells_weights/milan_9999_0,0.496664
42,kyoto7_9999_0,lstmfcn_8_cells_weights/kyoto7_9999_0,0.602210
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.630102
21,milan_9999_0,lstmfcn_8_cells_weights/milan_9999_0,0.518903
42,kyoto7_9999_0,lstmfcn_8_cells_weights/kyoto7_9999_0,0.475138
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.635204
21,milan_9999_0,lstmfcn_8_cells_weights/milan_9999_0,0.526316
42,kyoto7_9999_0,lstmfcn_8_cells_weights/kyoto7_9999_0,0.574586
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.676020
21,milan_9999_0,lstmfcn_8_cells_weights/milan_9999_0,0.499629
42,kyoto7_9999_0,lstmfcn_8_cells_weights/kyoto7_9999_0,0.546961
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.698980
21,milan_9999_0,lstmfcn_8_cells_weights/milan_9999_0,0.532987
42,kyoto7_9999_0,lstmfcn_8_cells_weights/kyoto7_9999_0,0.530387
63,kyoto8_9999_0,lstmfcn_8_cells_weights/kyoto8_9999_0,0.552367
85,kyoto11_9999_0,lstmfcn_8_cells_weights/kyoto11_9999_0,0.454067
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.655612
21,milan_9999_0,lstmfcn_8_cells_weights/milan_9999_0,0.502595
42,kyoto7_9999_0,lstmfcn_8_cells_weights/kyoto7_9999_0,0.580110
63,kyoto8_9999_0,lstmfcn_8_cells_weights/kyoto8_9999_0,0.555237
85,kyoto11_9999_0,lstmfcn_8_cells_weights/kyoto11_9999_0,0.458748
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.658163
21,milan_9999_0,lstmfcn_8_cells_weights/milan_9999_0,0.538176
42,kyoto7_9999_0,lstmfcn_8_cells_weights/kyoto7_9999_0,0.458564
63,kyoto8_9999_0,lstmfcn_8_cells_weights/kyoto8_9999_0,0.540890
85,kyoto11_9999_0,lstmfcn_8_cells_weights/kyoto11_9999_0,0.435342
0,cairo_9999_0,lstmfcn_8_cells_weights/cairo_9999_0,0.637755
21,milan_9999_0,lstmfcn_8_cells_weights/milan_9999_0,0.541142
42,kyoto7_9999_0,lstmfcn_8_cells_weights/kyoto7_9999_0,0.546961
63,kyoto8_9999_0,lstmfcn_8_cells_weights/kyoto8_9999_0,0.540890
85,kyoto11_9999_0,lstmfcn_8_cells_weights/kyoto11_9999_0,0.466940
