dataset_id,dataset_name,dataset_name_,test_accuracy
0,Adiac,alstmfcn_128_cells_weights/Adiac,0.033248
1,ArrowHead,alstmfcn_128_cells_weights/ArrowHead,0.537143
0,Adiac,alstmfcn_128_cells_weights/Adiac,0.046036
1,ArrowHead,alstmfcn_128_cells_weights/ArrowHead,0.565714
0,cairo_9999_0,alstmfcn_128_cells_weights/cairo_9999_0,0.635204
1,cairo_9999_1,alstmfcn_128_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,alstmfcn_128_cells_weights/cairo_9999_0,0.681122
1,cairo_9999_1,alstmfcn_128_cells_weights/cairo_9999_1,0.634271
0,cairo_9999_0,alstmfcn_128_cells_weights/cairo_9999_0,0.635204
1,cairo_9999_1,alstmfcn_128_cells_weights/cairo_9999_1,0.698210
0,cairo_9999_0,alstmfcn_128_cells_weights/cairo_9999_0,0.658163
1,cairo_9999_1,alstmfcn_128_cells_weights/cairo_9999_1,0.639386
0,cairo_9999_0,alstmfcn_128_cells_weights/cairo_9999_0,0.635204
1,cairo_9999_1,alstmfcn_128_cells_weights/cairo_9999_1,0.664962
0,cairo_9999_0,alstmfcn_128_cells_weights/cairo_9999_0,0.678571
1,cairo_9999_1,alstmfcn_128_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,alstmfcn_128_cells_weights/cairo_9999_0,0.635204
1,cairo_9999_1,alstmfcn_128_cells_weights/cairo_9999_1,0.705882
0,cairo_9999_0,alstmfcn_128_cells_weights/cairo_9999_0,0.660714
1,cairo_9999_1,alstmfcn_128_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,alstmfcn_128_cells_weights/cairo_9999_0,0.678571
1,cairo_9999_1,alstmfcn_128_cells_weights/cairo_9999_1,0.649616
0,cairo_9999_0,alstmfcn_128_cells_weights/cairo_9999_0,0.660714
1,cairo_9999_1,alstmfcn_128_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,alstmfcn_128_cells_weights/cairo_9999_0,0.673469
1,cairo_9999_1,alstmfcn_128_cells_weights/cairo_9999_1,0.639386
0,cairo_9999_0,alstmfcn_128_cells_weights/cairo_9999_0,0.678571
1,cairo_9999_1,alstmfcn_128_cells_weights/cairo_9999_1,0.629156
0,cairo_9999_0,alstmfcn_128_cells_weights/cairo_9999_0,0.650510
1,cairo_9999_1,alstmfcn_128_cells_weights/cairo_9999_1,0.624041
0,cairo_9999_0,alstmfcn_128_cells_weights/cairo_9999_0,0.668367
21,milan_9999_0,alstmfcn_128_cells_weights/milan_9999_0,0.488510
42,kyoto7_9999_0,alstmfcn_128_cells_weights/kyoto7_9999_0,0.392265
63,kyoto8_9999_0,alstmfcn_128_cells_weights/kyoto8_9999_0,0.536585
85,kyoto11_9999_0,alstmfcn_128_cells_weights/kyoto11_9999_0,0.463429
