dataset_id,dataset_name,dataset_name_,test_accuracy
0,Adiac,alstmfcn_64_cells_weights/Adiac,0.061381
1,ArrowHead,alstmfcn_64_cells_weights/ArrowHead,0.645714
0,Adiac,alstmfcn_64_cells_weights/Adiac,0.033248
1,ArrowHead,alstmfcn_64_cells_weights/ArrowHead,0.548571
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.647959
1,cairo_9999_1,alstmfcn_64_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.665816
1,cairo_9999_1,alstmfcn_64_cells_weights/cairo_9999_1,0.539642
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.642857
1,cairo_9999_1,alstmfcn_64_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.663265
1,cairo_9999_1,alstmfcn_64_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.635204
1,cairo_9999_1,alstmfcn_64_cells_weights/cairo_9999_1,0.677749
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.640306
1,cairo_9999_1,alstmfcn_64_cells_weights/cairo_9999_1,0.675192
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.635204
1,cairo_9999_1,alstmfcn_64_cells_weights/cairo_9999_1,0.652174
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.673469
1,cairo_9999_1,alstmfcn_64_cells_weights/cairo_9999_1,0.611253
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.688776
1,cairo_9999_1,alstmfcn_64_cells_weights/cairo_9999_1,0.672634
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.635204
1,cairo_9999_1,alstmfcn_64_cells_weights/cairo_9999_1,0.664962
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.642857
1,cairo_9999_1,alstmfcn_64_cells_weights/cairo_9999_1,0.641944
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.665816
1,cairo_9999_1,alstmfcn_64_cells_weights/cairo_9999_1,0.601023
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.642857
1,cairo_9999_1,alstmfcn_64_cells_weights/cairo_9999_1,0.601023
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.655612
21,milan_9999_0,alstmfcn_64_cells_weights/milan_9999_0,0.515196
42,kyoto7_9999_0,alstmfcn_64_cells_weights/kyoto7_9999_0,0.480663
63,kyoto8_9999_0,alstmfcn_64_cells_weights/kyoto8_9999_0,0.546628
85,kyoto11_9999_0,alstmfcn_64_cells_weights/kyoto11_9999_0,0.413692
0,cairo_9999_0,alstmfcn_64_cells_weights/cairo_9999_0,0.670918
21,milan_9999_0,alstmfcn_64_cells_weights/milan_9999_0,0.498147
42,kyoto7_9999_0,alstmfcn_64_cells_weights/kyoto7_9999_0,0.464088
63,kyoto8_9999_0,alstmfcn_64_cells_weights/kyoto8_9999_0,0.560976
85,kyoto11_9999_0,alstmfcn_64_cells_weights/kyoto11_9999_0,0.427736
